,reward,year_month,requesterId,cohort
151,695.74,2014-07,A13YV2LD0WTS7K,2014-06
152,1108.84,2014-08,A13YV2LD0WTS7K,2014-06
153,202.0,2014-06,A13ZR4N6LNH2WI,2014-06
154,318.0,2014-10,A13ZR4N6LNH2WI,2014-06
155,415.0,2015-02,A13ZR4N6LNH2WI,2014-06
156,10.0,2015-03,A13ZR4N6LNH2WI,2014-06
157,36.5,2015-04,A13ZR4N6LNH2WI,2014-06
158,99.0,2015-05,A13ZR4N6LNH2WI,2014-06
159,18.0,2015-06,A13ZR4N6LNH2WI,2014-06
160,201.0,2015-07,A13ZR4N6LNH2WI,2014-06
161,11.0,2015-09,A13ZR4N6LNH2WI,2014-06
162,3.0,2015-10,A13ZR4N6LNH2WI,2014-06
163,2.0,2015-11,A13ZR4N6LNH2WI,2014-06
164,11.0,2015-12,A13ZR4N6LNH2WI,2014-06
165,1.0,2016-01,A13ZR4N6LNH2WI,2014-06
166,9.02,2016-02,A13ZR4N6LNH2WI,2014-06
167,929.8,2014-06,A14A6PJOANLTP5,2014-06
168,8.0,2014-06,A14DXLTCCFSHP5,2014-06
169,23.0,2014-08,A14DXLTCCFSHP5,2014-06
170,16.0,2014-09,A14DXLTCCFSHP5,2014-06
171,8.0,2014-10,A14DXLTCCFSHP5,2014-06
172,4.0,2015-08,A14DXLTCCFSHP5,2014-06
173,20.4,2015-09,A14DXLTCCFSHP5,2014-06
174,1.0,2015-11,A14DXLTCCFSHP5,2014-06
175,0.8,2015-12,A14DXLTCCFSHP5,2014-06
176,4.8,2016-01,A14DXLTCCFSHP5,2014-06
177,3.0,2016-02,A14DXLTCCFSHP5,2014-06
178,199.4,2014-07,A14IBS0KCQZ492,2014-06
179,96.0,2014-06,A14Q6BTPCYIIC0,2014-06
180,30.32,2014-07,A14Q6BTPCYIIC0,2014-06
181,10.0,2014-06,A14RRJ4JK7NUO,2014-06
182,6.0,2014-07,A14RRJ4JK7NUO,2014-06
183,0.4,2014-06,A14W4940XVO66M,2014-06
184,2.1,2014-06,A14YK1LSFMW9CL,2014-06
185,1.0,2014-07,A14YK1LSFMW9CL,2014-06
186,7.2,2014-06,A155A2U8GRMIDW,2014-06
187,0.3,2014-06,A15EFODGAVBU6V,2014-06
188,0.4,2014-07,A15EFODGAVBU6V,2014-06
189,1.45,2015-03,A15EFODGAVBU6V,2014-06
190,0.3,2015-09,A15EFODGAVBU6V,2014-06
191,0.15,2015-10,A15EFODGAVBU6V,2014-06
192,24.0,2014-06,A15LV9H3COOJ0Q,2014-06
193,3.8,2014-06,A15MBN08U436M,2014-06
194,56.0,2014-06,A15NGRMOJZ2B16,2014-06
195,754.8,2014-07,A15NGRMOJZ2B16,2014-06
196,1.5,2014-09,A15NGRMOJZ2B16,2014-06
197,11.48,2014-06,A15U0DLEF3ZE5P,2014-06
198,625.7,2014-07,A15U0DLEF3ZE5P,2014-06
199,245.28,2014-08,A15U0DLEF3ZE5P,2014-06
200,3.0,2014-06,A15VL6G01X17SO,2014-06
201,1.0,2016-02,A15VL6G01X17SO,2014-06
202,5.4,2014-06,A15VU8YPY0MRIK,2014-06
203,3.04,2014-06,A15XGBBYAKKPBO,2014-06
204,10.5,2015-01,A15XGBBYAKKPBO,2014-06
205,1.0,2015-02,A15XGBBYAKKPBO,2014-06
206,5.05,2015-03,A15XGBBYAKKPBO,2014-06
207,5.0,2015-11,A15XGBBYAKKPBO,2014-06
208,15.02,2015-12,A15XGBBYAKKPBO,2014-06
209,0.1,2014-06,A15XR2N7HYZG6I,2014-06
210,0.3,2014-11,A15XR2N7HYZG6I,2014-06
211,6.1,2015-06,A15XR2N7HYZG6I,2014-06
212,1.7,2014-06,A163KFO7P9HXJN,2014-06
213,733.04,2014-11,A163KFO7P9HXJN,2014-06
214,1.5,2014-12,A163KFO7P9HXJN,2014-06
215,4.0,2014-06,A165UY7823J6VN,2014-06
216,0.12,2014-06,A1679MERJ1IQEF,2014-06
217,0.7,2014-06,A16CC52CC1701K,2014-06
218,0.04,2014-06,A16E8N5NNX155M,2014-06
219,2.4,2014-06,A16HEMXQVULUQS,2014-06
220,0.8,2014-09,A16HEMXQVULUQS,2014-06
221,3.0,2014-10,A16HEMXQVULUQS,2014-06
222,2.4,2015-04,A16HEMXQVULUQS,2014-06
223,10.0,2015-05,A16HEMXQVULUQS,2014-06
224,5.0,2015-06,A16HEMXQVULUQS,2014-06
225,4.0,2015-07,A16HEMXQVULUQS,2014-06
226,0.1,2014-06,A16IF8O2XY8J06,2014-06
227,0.3,2014-07,A16IF8O2XY8J06,2014-06
228,30.6,2014-06,A16OJBUN90S3ZK,2014-06
229,2935.5,2014-07,A16OJBUN90S3ZK,2014-06
230,720.98,2015-08,A16OJBUN90S3ZK,2014-06
231,0.4,2014-06,A16OOPAM7QZRZJ,2014-06
232,1.0,2014-06,A16X90Z5N71BIW,2014-06
233,0.6,2014-06,A16Z7FKJL6O0EC,2014-06
234,20.0,2014-06,A1746U3E1SVTWX,2014-06
235,38.04,2014-06,A17479GZGST913,2014-06
236,30.24,2014-07,A17479GZGST913,2014-06
237,12.0,2014-06,A174GW7RBE8R6F,2014-06
238,59.4,2014-06,A178AGJ8YFQ3H2,2014-06
239,6.0,2014-07,A178AGJ8YFQ3H2,2014-06
240,450.0,2014-08,A178AGJ8YFQ3H2,2014-06
241,72.0,2014-10,A178AGJ8YFQ3H2,2014-06
242,53.0,2014-11,A178AGJ8YFQ3H2,2014-06
243,6.0,2015-05,A178AGJ8YFQ3H2,2014-06
244,43.5,2015-06,A178AGJ8YFQ3H2,2014-06
245,10.5,2015-07,A178AGJ8YFQ3H2,2014-06
246,0.34,2014-06,A17AH7B74XRKX1,2014-06
247,0.4,2014-06,A17DMNTTTVED0D,2014-06
248,0.15,2014-06,A17EH1DBNE4ORY,2014-06
249,10.0,2014-06,A17KZN5EYMN9ZG,2014-06
